date,membership_tier,daily_visitors,new_registrations,inactive_members,net_change,return_rate,avg_ticket_price,daily_revenue,arpv,fast_pass_attachment_rate,avg_ancillary_spend,month,dow
2024-01-01,standard_pass,360,41,7,34,0.6694,79.0,52615.0,146.15,0.2962,49.68,1,0
2024-01-01,premium_pass,196,21,3,18,0.7974,131.42,50380.24,257.04,0.6184,89.14,1,0
2024-01-01,vip_pass,29,1,0,1,0.8129,249.0,11807.38,407.15,0.8738,106.6,1,0
2024-01-02,standard_pass,537,49,10,39,0.6372,79.0,79729.46,148.47,0.1829,58.68,1,1
2024-01-02,premium_pass,345,22,6,16,0.8268,123.87,77700.43,225.22,0.5997,65.97,1,1
2024-01-02,vip_pass,42,4,0,4,0.812,249.0,17195.94,409.43,0.9054,107.01,1,1
2024-01-03,standard_pass,549,46,10,36,0.6747,79.0,81790.32,148.98,0.159,60.6,1,2
2024-01-03,premium_pass,349,21,6,15,0.7722,115.29,73846.56,211.59,0.5886,61.58,1,2
2024-01-03,vip_pass,47,3,0,3,0.8532,249.0,18834.74,400.74,0.8931,99.05,1,2
2024-01-04,standard_pass,632,37,12,25,0.6675,79.0,102849.76,162.74,0.2644,68.14,1,3
2024-01-04,premium_pass,334,25,6,19,0.7048,117.68,75660.8,226.53,0.635,71.38,1,3
2024-01-04,vip_pass,54,5,1,4,0.8278,225.84,21930.45,406.12,0.9702,123.04,1,3
2024-01-05,standard_pass,801,83,16,67,0.7512,79.0,108156.96,135.03,0.174,45.76,1,4
2024-01-05,premium_pass,425,22,8,14,0.7074,139.0,113925.58,268.06,0.6321,91.76,1,4
2024-01-05,vip_pass,62,4,1,3,0.8063,210.02,22292.55,359.56,0.9572,93.06,1,4
2024-01-06,standard_pass,1003,106,20,86,0.6775,79.0,143977.56,143.55,0.2364,50.6,1,5
2024-01-06,premium_pass,581,50,11,39,0.7289,139.0,143624.46,247.2,0.5636,74.95,1,5
2024-01-06,vip_pass,81,8,1,7,0.8302,249.0,32294.16,398.69,0.9083,96.11,1,5
2024-01-07,standard_pass,823,60,16,44,0.6452,79.0,131073.05,159.26,0.2402,66.09,1,6
2024-01-07,premium_pass,505,59,10,49,0.6924,139.0,118388.58,234.43,0.5787,61.29,1,6
2024-01-07,vip_pass,75,6,1,5,0.8242,217.48,30519.99,406.93,0.9351,134.28,1,6
2024-01-08,standard_pass,500,48,10,38,0.6267,79.0,75147.13,150.29,0.2587,56.03,1,0
2024-01-08,premium_pass,316,29,6,23,0.7236,139.0,77317.03,244.67,0.5838,71.23,1,0
2024-01-08,vip_pass,41,2,0,2,0.8812,218.33,15231.85,371.51,0.9637,96.32,1,0
2024-01-09,standard_pass,577,35,11,24,0.6224,79.0,84056.17,145.68,0.2975,49.13,1,1
2024-01-09,premium_pass,316,18,6,12,0.7744,139.0,78690.63,249.02,0.5185,79.43,1,1
2024-01-09,vip_pass,47,3,0,3,0.8378,249.0,19178.2,408.05,0.9591,102.46,1,1
2024-01-10,standard_pass,620,69,12,57,0.6575,79.0,87126.26,140.53,0.2373,47.52,1,2
2024-01-10,premium_pass,323,36,6,30,0.7588,114.55,72956.4,225.87,0.5443,79.21,1,2
2024-01-10,vip_pass,51,4,1,3,0.852,249.0,20488.45,401.73,0.8723,101.27,1,2
2024-01-11,standard_pass,657,62,13,49,0.6627,79.0,93665.09,142.56,0.267,47.81,1,3
2024-01-11,premium_pass,356,24,7,17,0.7764,139.0,92678.05,260.33,0.568,87.82,1,3
2024-01-11,vip_pass,52,4,1,3,0.7878,249.0,20915.27,402.22,0.9183,99.04,1,3
2024-01-12,standard_pass,716,68,14,54,0.6463,79.0,120339.98,168.07,0.257,73.91,1,4
2024-01-12,premium_pass,494,34,9,25,0.7814,139.0,117642.61,238.14,0.5629,65.93,1,4
2024-01-12,vip_pass,66,7,1,6,0.8489,222.17,27434.43,415.67,1.0,134.5,1,4
2024-01-13,standard_pass,857,73,17,56,0.6607,79.0,136870.47,159.71,0.248,66.07,1,5
2024-01-13,premium_pass,523,36,10,26,0.7655,139.0,139483.62,266.7,0.6057,91.96,1,5
2024-01-13,vip_pass,77,6,1,5,0.8471,249.0,33219.31,431.42,0.9768,124.79,1,5
2024-01-14,standard_pass,960,70,19,51,0.6268,79.0,131865.27,137.36,0.2082,46.08,1,6
2024-01-14,premium_pass,516,45,10,35,0.7706,111.98,118799.82,230.23,0.4994,88.79,1,6
2024-01-14,vip_pass,72,4,1,3,0.8768,249.0,30225.87,419.8,0.9264,116.14,1,6
2024-01-15,standard_pass,484,25,9,16,0.7217,79.0,79473.19,164.2,0.3122,66.78,1,0
2024-01-15,premium_pass,337,29,6,23,0.7814,139.0,83147.92,246.73,0.5486,75.36,1,0
2024-01-15,vip_pass,40,2,0,2,0.8068,249.0,16032.87,400.82,1.0,92.82,1,0
2024-01-16,standard_pass,532,47,10,37,0.6784,79.0,90100.51,169.36,0.2833,73.65,1,1
2024-01-16,premium_pass,342,30,6,24,0.7102,139.0,85882.36,251.12,0.6722,72.46,1,1
2024-01-16,vip_pass,49,2,0,2,0.8229,217.56,18876.54,385.24,1.0,108.67,1,1
2024-01-17,standard_pass,555,44,11,33,0.699,79.0,74436.71,134.12,0.1485,46.36,1,2
2024-01-17,premium_pass,337,31,6,25,0.7849,139.0,80527.12,238.95,0.5805,65.7,1,2
2024-01-17,vip_pass,45,4,0,4,0.8321,249.0,18716.27,415.92,0.9007,113.77,1,2
2024-01-18,standard_pass,612,58,12,46,0.714,79.0,87396.31,142.8,0.1224,56.58,1,3
2024-01-18,premium_pass,399,45,7,38,0.7584,117.85,95681.92,239.8,0.5489,89.57,1,3
2024-01-18,vip_pass,47,5,0,5,0.8113,249.0,19677.89,418.68,0.9022,116.45,1,3
2024-01-19,standard_pass,851,86,17,69,0.6311,79.0,137934.22,162.08,0.2638,67.52,1,4
2024-01-19,premium_pass,490,58,9,49,0.6964,139.0,118358.25,241.55,0.519,71.93,1,4
2024-01-19,vip_pass,71,7,1,6,0.8766,249.0,27841.91,392.14,0.898,90.16,1,4
2024-01-20,standard_pass,998,85,19,66,0.6343,79.0,151153.11,151.46,0.2675,56.68,1,5
2024-01-20,premium_pass,486,55,9,46,0.7419,139.0,128635.75,264.68,0.5493,93.27,1,5
2024-01-20,vip_pass,78,7,1,6,0.7762,249.0,32805.86,420.59,0.8977,118.63,1,5
2024-01-21,standard_pass,935,98,18,80,0.629,79.0,140436.91,150.2,0.2196,58.25,1,6
2024-01-21,premium_pass,560,41,11,30,0.7684,112.95,131999.45,235.71,0.6479,84.53,1,6
2024-01-21,vip_pass,67,7,1,6,0.8159,236.05,26446.85,394.73,0.9316,103.71,1,6
2024-01-22,standard_pass,514,54,10,44,0.6301,72.41,77692.97,151.15,0.288,61.75,1,0
2024-01-22,premium_pass,303,34,6,28,0.7494,120.97,64904.03,214.2,0.5299,61.97,1,0
2024-01-22,vip_pass,40,2,0,2,0.8681,249.0,17546.51,438.66,0.9585,133.11,1,0
2024-01-23,standard_pass,546,38,10,28,0.6397,79.0,75727.35,138.69,0.2429,45.36,1,1
