date,event_type,event_name,impact_level
2024-01-01,holiday,New Year's Day,medium
2024-01-15,weather,Cold Snap (Below 40°F),medium
2024-02-10,weather,Winter Storm Warning,high
2024-02-14,special_event,Valentine's Day Weekend,low
2024-03-11,school_break,Spring Break Week,high
2024-03-17,special_event,St. Patrick's Day,low
2024-03-18,school_break,Spring Break Week 2,high
2024-04-15,special_event,Miniland USA Expansion Opening,high
2024-05-27,holiday,Memorial Day Weekend,high
2024-06-10,school_break,Summer Break Begins,high
2024-06-15,weather,Heat Wave (95°F+),medium
2024-07-04,holiday,Independence Day,high
2024-08-19,school_break,Back to School Week,medium
2024-08-20,weather,Tropical Storm Warning,high
2024-09-02,holiday,Labor Day Weekend,high
2024-09-15,special_event,Annual Passholder Appreciation Day,high
2024-10-31,special_event,Brick-or-Treat Halloween,high
2024-11-25,school_break,Thanksgiving Break,high
2024-11-28,holiday,Thanksgiving,medium
2024-12-23,school_break,Winter Break,high
2024-12-25,holiday,Christmas Day,low
2024-12-31,holiday,New Year's Eve,medium
2025-01-01,holiday,New Year's Day,medium
2025-01-20,weather,Cold Snap (Below 40°F),medium
2025-02-14,special_event,Valentine's Day Weekend,low
2025-02-15,weather,Winter Storm Warning,high
2025-03-10,school_break,Spring Break Week,high
2025-03-17,school_break,Spring Break Week 2,high
2025-05-20,special_event,LEGO Masters Live Show,high
2025-05-26,holiday,Memorial Day Weekend,high
2025-06-09,school_break,Summer Break Begins,high
2025-07-04,holiday,Independence Day,high
2025-07-10,weather,Heat Wave (95°F+),medium
2025-08-18,school_break,Back to School Week,medium
2025-09-01,holiday,Labor Day Weekend,high
2025-09-20,special_event,Annual Passholder Appreciation Day,high
2025-10-31,special_event,Brick-or-Treat Halloween,high
2025-11-24,school_break,Thanksgiving Break,high
2025-11-27,holiday,Thanksgiving,medium
2025-12-22,school_break,Winter Break,high
2025-12-25,holiday,Christmas Day,low
